seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,4,weak-MLP,arm2,natural,2,28,0.8571,0.9167,0.8533
0,4,weak-MLP,arm2,natural,3,43,0.8837,0.9275,0.8152
1,0,weak-MLP,arm2,100,global,184,0.5489,0.7088,0.4248
1,0,weak-MLP,arm2,100,0,45,0.4889,0.6567,0.5553
1,0,weak-MLP,arm2,100,1,48,0.5833,0.7368,0.4071
1,0,weak-MLP,arm2,100,2,42,0.5238,0.6875,0.3955
1,0,weak-MLP,arm2,100,3,49,0.5918,0.7436,0.3233
1,0,weak-MLP,arm2,1.0,global,184,0.5489,0.7088,0.4248
1,0,weak-MLP,arm2,1.0,0,67,0.3433,0.5111,0.4862
1,0,weak-MLP,arm2,1.0,1,52,0.9615,0.9804,0.47
1,0,weak-MLP,arm2,1.0,2,25,0.72,0.8372,0.2222
1,0,weak-MLP,arm2,1.0,3,40,0.25,0.4,0.4067
1,0,weak-MLP,arm2,0.5,global,184,0.5489,0.7088,0.4248
1,0,weak-MLP,arm2,0.5,0,40,0.425,0.5965,0.5064
1,0,weak-MLP,arm2,0.5,1,53,0.6038,0.7529,0.4479
1,0,weak-MLP,arm2,0.5,2,51,0.2353,0.381,0.3162
1,0,weak-MLP,arm2,0.5,3,40,1.0,1.0,nan
1,0,weak-MLP,arm2,0.1,global,184,0.5489,0.7088,0.4248
1,0,weak-MLP,arm2,0.1,0,19,0.2105,0.3478,0.4333
1,0,weak-MLP,arm2,0.1,1,34,0.5294,0.6923,0.6389
1,0,weak-MLP,arm2,0.1,2,55,0.0545,0.1034,0.391
1,0,weak-MLP,arm2,0.1,3,76,1.0,1.0,nan
1,0,weak-MLP,arm2,natural,global,184,0.5489,0.7088,0.4248
1,0,weak-MLP,arm2,natural,0,55,0.4364,0.6076,0.5397
1,0,weak-MLP,arm2,natural,1,58,0.3966,0.5679,0.2944
1,0,weak-MLP,arm2,natural,2,25,0.88,0.9362,0.5758
1,0,weak-MLP,arm2,natural,3,46,0.6957,0.8205,0.4531
1,1,weak-MLP,arm2,100,global,184,0.5543,0.7133,0.3345
1,1,weak-MLP,arm2,100,0,30,0.4333,0.6047,0.2081
1,1,weak-MLP,arm2,100,1,53,0.5849,0.7381,0.2815
1,1,weak-MLP,arm2,100,2,52,0.5577,0.716,0.4258
1,1,weak-MLP,arm2,100,3,49,0.5918,0.7436,0.3828
1,1,weak-MLP,arm2,1.0,global,184,0.5543,0.7133,0.3345
1,1,weak-MLP,arm2,1.0,0,55,0.2909,0.4507,0.2436
1,1,weak-MLP,arm2,1.0,1,60,0.95,0.9744,0.5789
1,1,weak-MLP,arm2,1.0,2,25,0.72,0.8372,0.2381
1,1,weak-MLP,arm2,1.0,3,44,0.25,0.4,0.449
1,1,weak-MLP,arm2,0.5,global,184,0.5543,0.7133,0.3345
1,1,weak-MLP,arm2,0.5,0,25,0.44,0.6111,0.1818
1,1,weak-MLP,arm2,0.5,1,55,0.5091,0.6747,0.2989
1,1,weak-MLP,arm2,0.5,2,55,0.2545,0.4058,0.622
1,1,weak-MLP,arm2,0.5,3,49,1.0,1.0,nan
1,1,weak-MLP,arm2,0.1,global,184,0.5543,0.7133,0.3345
1,1,weak-MLP,arm2,0.1,0,12,0.25,0.4,0.1852
1,1,weak-MLP,arm2,0.1,1,31,0.3226,0.4878,0.1714
1,1,weak-MLP,arm2,0.1,2,53,0.0189,0.037,0.3846
1,1,weak-MLP,arm2,0.1,3,88,1.0,1.0,nan
1,1,weak-MLP,arm2,natural,global,184,0.5543,0.7133,0.3345
1,1,weak-MLP,arm2,natural,0,61,0.459,0.6292,0.4859
1,1,weak-MLP,arm2,natural,1,63,0.3651,0.5349,0.237
1,1,weak-MLP,arm2,natural,2,26,0.9615,0.9804,0.64
1,1,weak-MLP,arm2,natural,3,34,0.7647,0.8667,0.1995
1,2,weak-MLP,arm2,100,global,184,0.5543,0.7133,0.399
1,2,weak-MLP,arm2,100,0,44,0.5,0.6667,0.4029
