seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,1,LR,arm2,100,global,184,0.7935,0.8304,0.8693
0,1,LR,arm2,100,0,37,0.6216,0.65,0.8274
0,1,LR,arm2,100,1,41,0.8537,0.88,0.8946
0,1,LR,arm2,100,2,49,0.8776,0.9062,0.8768
0,1,LR,arm2,100,3,57,0.7895,0.8286,0.8889
0,1,LR,arm2,1.0,global,184,0.7935,0.8304,0.8691
0,1,LR,arm2,1.0,0,38,0.7368,0.7826,0.9306
0,1,LR,arm2,1.0,1,62,0.7903,0.8312,0.8361
0,1,LR,arm2,1.0,2,48,0.875,0.8889,0.9441
0,1,LR,arm2,1.0,3,36,0.75,0.8085,0.8359
0,1,LR,arm2,0.5,global,184,0.7772,0.821,0.8677
0,1,LR,arm2,0.5,0,57,0.6316,0.4878,0.7797
0,1,LR,arm2,0.5,1,75,0.92,0.9559,0.8971
0,1,LR,arm2,0.5,2,33,0.8485,0.8571,0.9778
0,1,LR,arm2,0.5,3,19,0.5263,0.4706,0.9
0,1,LR,arm2,0.1,global,184,0.7717,0.8158,0.8671
0,1,LR,arm2,0.1,0,59,0.6271,0.0,nan
0,1,LR,arm2,0.1,1,102,0.9118,0.9538,nan
0,1,LR,arm2,0.1,2,16,0.4375,0.0,nan
0,1,LR,arm2,0.1,3,7,0.7143,0.0,nan
0,1,LR,arm2,natural,global,184,0.8043,0.8378,0.8694
0,1,LR,arm2,natural,0,64,0.8281,0.8197,0.8988
0,1,LR,arm2,natural,1,51,0.7255,0.6667,0.8278
0,1,LR,arm2,natural,2,28,0.8929,0.9434,0.8889
0,1,LR,arm2,natural,3,41,0.8049,0.8788,0.7778
0,1,MLP,arm1,,global,184,0.7826,0.8276,0.8724
0,1,MLP,arm1,100,0,37,0.6216,0.6667,0.7976
0,1,MLP,arm1,100,1,41,0.8293,0.8679,0.8995
0,1,MLP,arm1,100,2,49,0.8571,0.8923,0.8824
0,1,MLP,arm1,100,3,57,0.7895,0.8333,0.9148
0,1,MLP,arm1,1.0,0,38,0.7105,0.766,0.9
0,1,MLP,arm1,1.0,1,62,0.7903,0.8395,0.8372
0,1,MLP,arm1,1.0,2,48,0.875,0.8929,0.9336
0,1,MLP,arm1,1.0,3,36,0.7222,0.7917,0.8545
0,1,MLP,arm1,0.5,0,57,0.6316,0.5116,0.7745
0,1,MLP,arm1,0.5,1,75,0.9333,0.9635,0.8943
0,1,MLP,arm1,0.5,2,33,0.8485,0.8571,0.963
0,1,MLP,arm1,0.5,3,19,0.5263,0.4706,0.9167
0,1,MLP,arm1,0.1,0,59,0.6102,0.0,nan
0,1,MLP,arm1,0.1,1,102,0.9412,0.9697,nan
0,1,MLP,arm1,0.1,2,16,0.5,0.0,nan
0,1,MLP,arm1,0.1,3,7,0.5714,0.0,nan
