seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
5,1,VQC,arm4,0.1,0,101,0.802,0.8837,0.8951
5,1,VQC,arm4,0.1,1,15,0.7333,0.5,0.8846
5,1,VQC,arm4,0.1,2,7,0.4286,0.6,0.5
5,1,VQC,arm4,0.1,3,61,0.6066,0.0,nan
5,2,VQC,arm4,0.1,global,184,0.7446,0.7707,0.8096
5,2,VQC,arm4,0.1,0,98,0.7653,0.8589,0.8931
5,2,VQC,arm4,0.1,1,17,0.8235,0.5714,1.0
5,2,VQC,arm4,0.1,2,8,0.875,0.9333,nan
5,2,VQC,arm4,0.1,3,61,0.6721,0.0,nan
5,3,VQC,arm4,0.1,global,184,0.7011,0.7317,0.7655
5,3,VQC,arm4,0.1,0,101,0.7228,0.8372,0.7891
5,3,VQC,arm4,0.1,1,26,0.6923,0.0,nan
5,3,VQC,arm4,0.1,2,3,0.6667,0.8,nan
5,3,VQC,arm4,0.1,3,54,0.6667,0.1,0.8019
5,4,VQC,arm4,0.1,global,184,0.6576,0.7097,0.737
5,4,VQC,arm4,0.1,0,102,0.7451,0.8452,0.7507
5,4,VQC,arm4,0.1,1,22,0.5909,0.4,0.8056
5,4,VQC,arm4,0.1,2,4,0.75,0.8571,nan
5,4,VQC,arm4,0.1,3,56,0.5179,0.0,nan
6,0,VQC,arm4,0.1,global,184,0.6685,0.7289,0.7302
6,0,VQC,arm4,0.1,0,22,0.4545,0.0,nan
6,0,VQC,arm4,0.1,1,129,0.6899,0.7436,0.7502
6,0,VQC,arm4,0.1,2,3,0.6667,0.8,0.0
6,0,VQC,arm4,0.1,3,30,0.7333,0.8462,nan
6,1,VQC,arm4,0.1,global,184,0.6793,0.7378,0.7065
6,1,VQC,arm4,0.1,0,13,0.6154,0.0,nan
6,1,VQC,arm4,0.1,1,140,0.6643,0.7152,0.6871
6,1,VQC,arm4,0.1,2,4,0.75,0.8571,nan
6,1,VQC,arm4,0.1,3,27,0.7778,0.875,nan
6,2,VQC,arm4,0.1,global,184,0.6848,0.75,0.7473
6,2,VQC,arm4,0.1,0,13,0.3077,0.0,nan
6,2,VQC,arm4,0.1,1,133,0.6692,0.7105,0.7497
6,2,VQC,arm4,0.1,2,8,0.875,0.9333,nan
6,2,VQC,arm4,0.1,3,30,0.8667,0.9286,0.7931
6,3,VQC,arm4,0.1,global,184,0.6685,0.7163,0.7045
6,3,VQC,arm4,0.1,0,19,0.3684,0.0,nan
6,3,VQC,arm4,0.1,1,128,0.6719,0.6912,0.7241
6,3,VQC,arm4,0.1,2,2,1.0,1.0,nan
6,3,VQC,arm4,0.1,3,35,0.8,0.8889,nan
6,4,VQC,arm4,0.1,global,184,0.712,0.758,0.7559
6,4,VQC,arm4,0.1,0,20,0.75,0.0,nan
6,4,VQC,arm4,0.1,1,116,0.6724,0.7031,0.7562
6,4,VQC,arm4,0.1,2,9,0.6667,0.8,0.625
6,4,VQC,arm4,0.1,3,39,0.8205,0.9014,nan
7,0,VQC,arm4,0.1,global,184,0.7663,0.7923,0.8532
