seed,fold,model,condition,round,mean_pairwise_l2
2,2,weak-MLP,100,3,0.019646
2,2,weak-MLP,1.0,0,0.163892
2,2,weak-MLP,1.0,1,0.1637
2,2,weak-MLP,1.0,2,0.163865
2,2,weak-MLP,1.0,3,0.164358
2,2,weak-MLP,0.5,0,0.288405
2,2,weak-MLP,0.5,1,0.287483
2,2,weak-MLP,0.5,2,0.287345
2,2,weak-MLP,0.5,3,0.287934
2,2,weak-MLP,0.1,0,0.323533
2,2,weak-MLP,0.1,1,0.322476
2,2,weak-MLP,0.1,2,0.322293
2,2,weak-MLP,0.1,3,0.322924
2,2,weak-MLP,natural,0,0.177197
2,2,weak-MLP,natural,1,0.176069
2,2,weak-MLP,natural,2,0.175538
2,2,weak-MLP,natural,3,0.175568
2,3,weak-MLP,100,0,0.015525
2,3,weak-MLP,100,1,0.01544
2,3,weak-MLP,100,2,0.015458
2,3,weak-MLP,100,3,0.015603
2,3,weak-MLP,1.0,0,0.148196
2,3,weak-MLP,1.0,1,0.148071
2,3,weak-MLP,1.0,2,0.148321
2,3,weak-MLP,1.0,3,0.148953
2,3,weak-MLP,0.5,0,0.288878
2,3,weak-MLP,0.5,1,0.288396
2,3,weak-MLP,0.5,2,0.288721
2,3,weak-MLP,0.5,3,0.289874
2,3,weak-MLP,0.1,0,0.322355
2,3,weak-MLP,0.1,1,0.321837
2,3,weak-MLP,0.1,2,0.32222
2,3,weak-MLP,0.1,3,0.323519
2,3,weak-MLP,natural,0,0.18042
2,3,weak-MLP,natural,1,0.179567
2,3,weak-MLP,natural,2,0.179345
2,3,weak-MLP,natural,3,0.17978
2,4,weak-MLP,100,0,0.017555
2,4,weak-MLP,100,1,0.017822
2,4,weak-MLP,100,2,0.018179
2,4,weak-MLP,100,3,0.018644
2,4,weak-MLP,1.0,0,0.144061
2,4,weak-MLP,1.0,1,0.14459
2,4,weak-MLP,1.0,2,0.14547
2,4,weak-MLP,1.0,3,0.146752
2,4,weak-MLP,0.5,0,0.286936
2,4,weak-MLP,0.5,1,0.287662
2,4,weak-MLP,0.5,2,0.289176
2,4,weak-MLP,0.5,3,0.291594
2,4,weak-MLP,0.1,0,0.322092
2,4,weak-MLP,0.1,1,0.322916
2,4,weak-MLP,0.1,2,0.324611
