seed,fold,model,condition,round,mean_pairwise_l2
1,3,VQC-circmean,0.1,19,0.251464
1,4,VQC-circmean,0.1,0,0.638963
1,4,VQC-circmean,0.1,1,0.613134
1,4,VQC-circmean,0.1,2,0.575666
1,4,VQC-circmean,0.1,3,0.536554
1,4,VQC-circmean,0.1,4,0.497197
1,4,VQC-circmean,0.1,5,0.45975
1,4,VQC-circmean,0.1,6,0.425793
1,4,VQC-circmean,0.1,7,0.396121
1,4,VQC-circmean,0.1,8,0.370854
1,4,VQC-circmean,0.1,9,0.349668
1,4,VQC-circmean,0.1,10,0.332009
1,4,VQC-circmean,0.1,11,0.317236
1,4,VQC-circmean,0.1,12,0.304701
1,4,VQC-circmean,0.1,13,0.293825
1,4,VQC-circmean,0.1,14,0.284174
1,4,VQC-circmean,0.1,15,0.275581
1,4,VQC-circmean,0.1,16,0.268162
1,4,VQC-circmean,0.1,17,0.262143
1,4,VQC-circmean,0.1,18,0.257596
1,4,VQC-circmean,0.1,19,0.254365
2,0,VQC-circmean,0.1,0,0.783198
2,0,VQC-circmean,0.1,1,0.736701
2,0,VQC-circmean,0.1,2,0.689904
2,0,VQC-circmean,0.1,3,0.640138
2,0,VQC-circmean,0.1,4,0.588978
2,0,VQC-circmean,0.1,5,0.540266
2,0,VQC-circmean,0.1,6,0.496821
2,0,VQC-circmean,0.1,7,0.459783
2,0,VQC-circmean,0.1,8,0.428902
2,0,VQC-circmean,0.1,9,0.403206
2,0,VQC-circmean,0.1,10,0.381557
2,0,VQC-circmean,0.1,11,0.362949
2,0,VQC-circmean,0.1,12,0.34664
2,0,VQC-circmean,0.1,13,0.332171
2,0,VQC-circmean,0.1,14,0.319343
2,0,VQC-circmean,0.1,15,0.308146
2,0,VQC-circmean,0.1,16,0.298629
2,0,VQC-circmean,0.1,17,0.290774
2,0,VQC-circmean,0.1,18,0.284463
2,0,VQC-circmean,0.1,19,0.27951
2,1,VQC-circmean,0.1,0,0.745286
2,1,VQC-circmean,0.1,1,0.716362
2,1,VQC-circmean,0.1,2,0.675772
2,1,VQC-circmean,0.1,3,0.630495
2,1,VQC-circmean,0.1,4,0.584767
2,1,VQC-circmean,0.1,5,0.541822
2,1,VQC-circmean,0.1,6,0.503315
2,1,VQC-circmean,0.1,7,0.469919
2,1,VQC-circmean,0.1,8,0.441535
2,1,VQC-circmean,0.1,9,0.417544
2,1,VQC-circmean,0.1,10,0.397137
2,1,VQC-circmean,0.1,11,0.379537
2,1,VQC-circmean,0.1,12,0.364115
2,1,VQC-circmean,0.1,13,0.350411
2,1,VQC-circmean,0.1,14,0.338132
2,1,VQC-circmean,0.1,15,0.327133
2,1,VQC-circmean,0.1,16,0.317386
2,1,VQC-circmean,0.1,17,0.308914
2,1,VQC-circmean,0.1,18,0.301725
2,1,VQC-circmean,0.1,19,0.29576
2,2,VQC-circmean,0.1,0,0.764436
2,2,VQC-circmean,0.1,1,0.728492
2,2,VQC-circmean,0.1,2,0.684316
2,2,VQC-circmean,0.1,3,0.635024
2,2,VQC-circmean,0.1,4,0.583691
2,2,VQC-circmean,0.1,5,0.534698
2,2,VQC-circmean,0.1,6,0.491096
2,2,VQC-circmean,0.1,7,0.454077
2,2,VQC-circmean,0.1,8,0.423361
2,2,VQC-circmean,0.1,9,0.397933
2,2,VQC-circmean,0.1,10,0.37662
2,2,VQC-circmean,0.1,11,0.358413
2,2,VQC-circmean,0.1,12,0.342583
2,2,VQC-circmean,0.1,13,0.328684
2,2,VQC-circmean,0.1,14,0.316483
2,2,VQC-circmean,0.1,15,0.305876
2,2,VQC-circmean,0.1,16,0.296793
2,2,VQC-circmean,0.1,17,0.289153
2,2,VQC-circmean,0.1,18,0.282854
2,2,VQC-circmean,0.1,19,0.277778
2,3,VQC-circmean,0.1,0,0.755227
2,3,VQC-circmean,0.1,1,0.722427
2,3,VQC-circmean,0.1,2,0.679931
2,3,VQC-circmean,0.1,3,0.633429
